state,dvote.men,dvote.women,rvote.men,rvote.women,dshare,rshare,cycle
Alabama,36,42,62,58,38.74,60.32,2008
Alaska,32,41,64,57,37.89,59.42,2008
Arizona,45,45,53,54,44.91,53.39,2008
Arkansas,40,39,58,58,38.86,58.72,2008
California,58,64,40,35,60.92,36.9,2008
Colorado,49,56,50,41,53.66,44.71,2008
Connecticut,53,66,43,32,60.59,38.22,2008
Delaware,52,70,46,29,61.91,36.93,2008
District of Columbia,91,93,6,6,92.46,6.53,2008
Florida,51,52,47,47,50.91,48.1,2008
Georgia,40,54,58,46,46.9,52.1,2008
Hawaii,72,72,26,26,71.85,26.58,2008
Idaho,32,41,65,58,35.91,61.21,2008
Illinois,57,64,42,35,61.83,36.73,2008
Indiana,47,52,52,47,49.84,48.81,2008
Iowa,50,55,47,43,53.93,44.39,2008
Kansas,39,46,60,53,41.55,56.48,2008
Kentucky,40,44,58,56,41.15,57.37,2008
Louisiana,34,42,64,56,39.93,58.56,2008
Maine,52,64,46,34,57.71,40.38,2008
Maryland,59,64,39,35,61.92,36.47,2008
Massachusetts,56,68,42,30,61.8,35.99,2008
Michigan,52,60,45,38,57.33,40.89,2008
Minnesota,50,57,47,41,54.06,43.82,2008
Mississippi,38,47,62,53,43,56.17,2008
Missouri,48,50,50,48,49.23,49.36,2008
Montana,44,51,53,47,47.11,49.49,2008
Nebraska,43,40,55,58,41.6,56.53,2008
Nevada,51,59,47,38,55.15,42.65,2008
New Hampshire,49,61,49,38,54.13,44.52,2008
New Jersey,56,58,44,41,57.14,41.61,2008
New Mexico,54,59,45,39,56.91,41.78,2008
New York,59,67,40,32,62.88,36.03,2008
North Carolina,43,55,56,44,49.7,49.38,2008
North Dakota,40,47,57,51,44.5,53.15,2008
Ohio,51,53,48,45,51.38,46.8,2008
Oklahoma,34,36,66,64,34.35,65.65,2008
Oregon,56,59,40,39,56.75,40.4,2008
Pennsylvania,51,59,48,41,54.47,44.15,2008
Rhode Island,52,70,42,29,62.86,35.06,2008
South Carolina,41,48,58,51,44.9,53.87,2008
South Dakota,40,47,56,51,44.75,53.16,2008
Tennessee,36,47,60,52,41.79,56.85,2008
Texas,39,47,59,52,43.63,55.38,2008
Utah,34,34,63,63,34.17,62.15,2008
Vermont,63,71,33,28,67.46,30.45,2008
Virginia,51,53,47,46,52.63,46.33,2008
Washington,57,58,40,40,57.34,40.26,2008
West Virginia,42,44,56,55,42.49,55.58,2008
Wisconsin,53,60,46,39,56.22,42.31,2008
Wyoming,30,35,67,63,32.54,64.78,2008
Alabama,30,43,69,57,36.8,62.5,2004
Alaska,29,41,67,57,35.5,61.1,2004
Arizona,41,47,58,52,44.3,54.8,2004
Arkansas,40,49,59,50,44.5,54.3,2004
California,50,57,47,41,54.3,44.4,2004
Colorado,45,48,53,51,47,51.7,2004
Connecticut,52,57,47,42,54.3,43.9,2004
Delaware,48,58,52,41,53.3,45.7,2004
District of Columbia,86,92,12,7,89.2,9.3,2004
Florida,46,49,53,50,47.1,52.1,2004
Georgia,38,44,62,56,41.3,57.9,2004
Hawaii,51,57,49,43,54,45.3,2004
Idaho,28,32,70,67,30.3,68.4,2004
Illinois,54,56,46,43,54.8,44.5,2004
Indiana,37,41,62,58,39.3,59.9,2004
Iowa,47,51,52,46,49.2,49.9,2004
Kansas,34,38,64,62,36.6,62,2004
Kentucky,38,41,61,58,39.7,59.5,2004
Louisiana,39,45,60,54,42.2,56.7,2004
Maine,48,57,49,42,53.6,44.6,2004
Maryland,54,58,45,41,55.9,42.9,2004
Massachusetts,57,66,41,33,61.9,36.8,2004
Michigan,48,53,50,46,51.2,47.8,2004
Minnesota,51,52,48,46,51.1,47.6,2004
Mississippi,40,40,59,59,39.8,59.4,2004
Missouri,47,45,52,54,46.1,53.3,2004
Montana,41,38,57,58,38.6,59.1,2004
Nebraska,33,34,66,66,32.7,65.9,2004
Nevada,44,52,54,47,47.9,50.5,2004
New Hampshire,47,54,52,45,50.2,48.9,2004
New Jersey,49,56,50,43,52.9,46.2,2004
New Mexico,48,49,51,49,49,49.8,2004
New York,56,60,42,40,58.4,40.1,2004
North Carolina,38,46,60,54,43.6,56,2004
North Dakota,31,39,67,59,35.5,62.9,2004
Ohio,47,50,52,50,48.7,50.8,2004
Oklahoma,33,36,67,64,34.4,65.6,2004
Oregon,43,59,56,41,51.3,47.2,2004
Pennsylvania,48,54,51,46,50.9,48.4,2004
Rhode Island,57,62,41,37,59.4,38.7,2004
South Carolina,36,45,63,55,40.9,58,2004
South Dakota,38,39,60,60,38.4,59.9,2004
Tennessee,41,43,57,56,42.5,56.8,2004
Texas,40,37,60,63,38.2,61.1,2004
Utah,25,28,72,71,26,71.5,2004
Vermont,58,60,41,37,58.9,38.8,2004
Virginia,40,50,59,50,45.5,53.7,2004
Washington,48,57,50,43,52.8,45.6,2004
West Virginia,43,43,55,56,43.2,56.1,2004
Wisconsin,46,53,52,46,49.7,49.3,2004
Wyoming,26,32,71,67,29.1,68.9,2004